,City,City_ID,Country,"Date unix, UTC",lon,lat,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Bredasdorp,1015776,ZA,1608135493,20.04,-34.53,69.8,56,0,8.05
1,Ushuaia,3833367,AR,1608135432,-68.3,-54.8,48.2,70,75,6.93
2,New Norfolk,2155415,AU,1608135717,147.06,-42.78,54.0,79,100,1.28
3,George Town,1735106,MY,1608135717,100.34,5.41,78.8,94,40,2.24
4,Hambantota,1244926,LK,1608135717,81.12,6.12,77.0,100,40,4.7
5,Hermanus,3366880,ZA,1608135717,19.23,-34.42,72.0,64,34,4.0
6,Bluff,2206939,NZ,1608135495,168.33,-46.6,46.99,98,89,7.96
7,Saint-Leu,6690297,RE,1608135718,55.28,-21.15,78.8,83,0,13.87
8,Atuona,4020109,PF,1608135672,-139.03,-9.8,78.4,78,9,21.23
9,Sisimiut,3419842,GL,1608135718,-53.67,66.94,19.27,89,22,8.28
10,Mataura,6201424,NZ,1608135488,168.86,-46.19,46.99,98,100,2.06
11,Sitka,5557293,US,1608135498,-135.33,57.05,39.2,93,90,3.78
12,Olafsvik,3414079,IS,1608135718,-23.71,64.89,35.91,84,99,26.17
13,Gimli,5961417,CA,1608135718,-96.99,50.63,15.8,92,100,6.93
14,Acaraú,3408368,BR,1608135549,-40.12,-2.89,85.86,62,98,14.94
15,Bridlington,2654728,GB,1608135719,-0.19,54.08,48.2,93,100,12.75
16,Barrow,5880054,US,1608135719,-156.79,71.29,-7.6,69,1,26.4
17,Aswān,359792,EG,1608135719,32.91,24.09,64.11,42,0,7.9
18,Vilyuysk,2013392,RU,1608135719,121.62,63.76,-30.5,84,97,4.79
19,Cabo San Lucas,3985710,MX,1608135537,-109.91,22.89,66.0,77,5,3.36
20,Busselton,2075265,AU,1608135719,115.33,-33.65,55.99,80,0,15.1
21,Rikitea,4030556,PF,1608135495,-134.97,-23.12,76.77,73,0,10.51
22,Chokurdakh,2126123,RU,1608135720,147.92,70.63,-9.51,91,100,6.13
23,Puerto Madero,3520989,MX,1608135720,-92.42,14.72,84.2,79,5,6.93
24,Hong Kong,1819729,HK,1608135510,114.16,22.29,57.99,74,34,1.01
25,Port Lincoln,2063036,AU,1608135720,135.87,-34.73,59.13,81,95,14.14
26,Yellowknife,6185377,CA,1608135720,-114.35,62.46,-38.0,72,20,4.7
27,Kaitangata,2208248,NZ,1608135721,169.85,-46.28,50.0,96,100,3.0
28,Caravelas,3466980,BR,1608135722,-39.25,-17.71,84.78,54,66,9.46
29,Jamestown,5122534,US,1608135556,-79.24,42.1,26.01,53,40,9.17
30,Ségou,2451478,ML,1608135722,-6.22,13.43,97.5,10,5,6.96
31,Punta Arenas,3874787,CL,1608135499,-70.92,-53.15,57.2,41,75,32.21
32,Praia da Vitória,3372760,PT,1608135722,-27.07,38.73,69.8,60,20,17.36
33,Bathsheba,3374083,BB,1608135722,-59.52,13.22,86.0,66,40,14.99
34,Lagoa,3372964,PT,1608135723,-27.98,39.05,63.63,78,50,24.25
35,Ben Gardane,2472431,TN,1608135723,11.22,33.14,64.33,46,32,5.35
36,Sibu,1735902,MY,1608135723,111.82,2.3,77.0,94,40,3.36
37,Butaritari,2110227,KI,1608135723,172.79,3.07,80.69,81,86,17.47
38,Ceyhan,318675,TR,1608135446,35.82,37.02,60.8,55,75,18.34
39,Baghdad,98182,IQ,1608135615,44.4,33.34,60.8,77,15,4.7
40,Tuatapere,2180815,NZ,1608135724,167.68,-46.13,46.99,98,98,1.99
41,Tuktoyaktuk,6170031,CA,1608135724,-133.04,69.45,-22.0,74,40,4.7
42,Arak,143127,IR,1608135724,49.69,34.09,37.44,84,75,2.37
43,Kunya,2592493,NG,1608135724,8.53,12.22,86.0,27,29,11.41
44,Pahrump,5509851,US,1608135724,-115.98,36.21,46.0,38,1,0.67
45,Channel-Port aux Basques,5919815,CA,1608135724,-59.14,47.57,24.28,95,95,36.8
46,Jinchang,1805733,CN,1608135724,102.17,38.5,16.38,85,100,1.61
47,Kapaa,5848280,US,1608135725,-159.32,22.08,75.2,88,90,12.75
48,Saint George,5546220,US,1608135518,-113.58,37.1,23.0,67,1,4.7
49,Payo,1638775,ID,1608135725,103.64,-3.75,70.95,92,100,2.98
50,Albany,5106841,US,1608135725,-73.97,42.6,19.99,66,75,8.05
51,Khandyga,2022773,RU,1608135725,135.6,62.67,-47.45,75,52,1.12
52,Tuy Hoa,1563281,VN,1608135725,109.3,13.08,75.27,89,98,16.31
53,Sayyan,70979,YE,1608135725,44.32,15.17,50.31,47,23,0.49
54,Irbeyskoye,1505529,RU,1608135726,95.45,55.64,-7.33,85,100,2.59
55,Deputatsky,2028164,RU,1608135726,139.9,69.3,-29.61,87,93,1.12
56,Comodoro Rivadavia,3860443,AR,1608135726,-67.5,-45.87,73.4,28,0,12.75
57,Nouadhibou,2377457,MR,1608135726,-17.03,20.93,75.2,57,0,16.11
58,Mar del Plata,3430863,AR,1608135622,-57.56,-38.0,77.0,33,0,19.46
59,Khovd,1516048,MN,1608135519,91.64,48.01,-0.06,87,24,0.69
60,Isangel,2136825,VU,1608135565,169.27,-19.55,76.17,81,8,15.21
61,Hasaki,2112802,JP,1608135726,140.83,35.73,30.2,74,20,6.93
62,East London,1006984,ZA,1608135727,27.91,-33.02,71.6,73,40,9.17
63,La Ronge,6050066,CA,1608135727,-105.28,55.1,3.2,77,100,4.7
64,Mahébourg,934322,MU,1608135499,57.7,-20.41,78.8,88,40,10.29
65,Richards Bay,962367,ZA,1608135727,32.04,-28.78,73.8,74,0,8.1
66,Khatanga,2022572,RU,1608135727,102.5,71.97,-31.88,81,0,4.72
67,Saint-Philippe,935215,RE,1608135727,55.77,-21.36,78.8,83,0,13.87
68,São João da Barra,3448903,BR,1608135727,-41.05,-21.64,87.8,55,0,16.11
69,Río Gallegos,3838859,AR,1608135728,-69.22,-51.62,59.0,33,75,32.21
70,Klaksvík,2618795,FO,1608135728,-6.59,62.23,46.4,70,100,17.22
71,Castro,3466704,BR,1608135728,-50.01,-24.79,81.25,53,33,6.06
72,La Paz,3911925,BO,1608135540,-68.15,-16.5,53.6,54,75,5.82
73,Rodolfo Sánchez Taboada,3996737,MX,1608135728,-116.57,31.72,55.0,33,0,1.99
74,Hofn,2630299,IS,1608135728,-15.21,64.25,42.8,82,90,16.11
75,Iqaluit,5983720,CA,1608135573,-68.51,63.75,5.0,77,90,18.34
76,Vaini,4032243,TO,1608135729,-175.2,-21.2,71.6,94,40,9.17
77,Guerrero Negro,4021858,MX,1608135729,-114.06,27.98,58.05,36,0,0.43
78,Kudahuvadhoo,1337607,MV,1608135729,72.89,2.67,82.74,70,20,5.82
79,Kapit,1737185,MY,1608135729,112.93,2.02,74.8,93,100,0.36
80,Souillac,933995,MU,1608135729,57.52,-20.52,78.8,88,40,10.29
81,Kokopo,2093685,PG,1608135729,152.26,-4.35,80.1,82,96,7.94
82,Saldanha,3361934,ZA,1608135729,17.94,-33.01,71.6,56,45,24.16
83,Carnarvon,2074865,AU,1608135490,113.63,-24.87,71.6,88,0,21.92
84,Nikolskoye,546105,RU,1608135489,30.79,59.7,30.99,100,90,6.71
85,Dikson,1507390,RU,1608135730,80.55,73.51,-24.48,83,17,5.99
86,Hobart,2163355,AU,1608135621,147.33,-42.88,54.0,93,90,4.7
87,Puerto Ayora,3652764,EC,1608135730,-90.35,-0.74,73.4,83,75,10.29
88,Laguna,5364271,US,1608135730,-121.42,38.42,39.99,86,90,2.73
89,Katsuura,2112309,JP,1608135437,140.3,35.13,39.2,55,20,10.29
90,Uwajima,1926020,JP,1608135731,132.56,33.22,38.84,72,98,18.68
91,Tiarei,4033356,PF,1608135731,-149.33,-17.53,77.0,73,75,3.36
92,Coalinga,5338196,US,1608135651,-120.36,36.14,42.01,84,3,1.61
93,Port Alfred,964432,ZA,1608135731,26.89,-33.59,72.0,79,0,1.99
94,Goodlettsville,4625282,US,1608135731,-86.71,36.32,43.0,87,90,4.7
95,Lorengau,2092164,PG,1608135731,147.27,-2.02,82.85,79,98,9.55
96,Tongliao,2034400,CN,1608135731,122.27,43.61,-2.61,88,0,8.21
97,Inhambane,1045114,MZ,1608135523,35.38,-23.86,82.0,78,40,4.7
98,Udachny,2014624,RU,1608135732,112.4,66.42,-27.4,67,90,2.24
99,Catuday,1717787,PH,1608135732,119.81,16.29,78.58,81,36,7.83
100,Kimbe,2093967,PG,1608135682,150.14,-5.55,77.94,85,100,1.77
101,Kruisfontein,986717,ZA,1608135732,24.73,-34.0,75.0,58,0,5.99
102,Mount Gambier,2156643,AU,1608135732,140.77,-37.83,57.2,93,90,10.29
103,Moultrie,4210397,US,1608135732,-83.79,31.18,46.4,100,90,8.95
104,Plouzané,2986626,FR,1608135732,-4.62,48.38,50.0,87,100,8.05
105,Verāval,1253237,IN,1608135732,70.37,20.9,72.88,45,0,10.4
106,Pánormos,255849,GR,1608135733,24.69,35.42,57.99,76,88,10.4
107,Straumen,3135728,NO,1608135733,11.3,63.87,41.0,100,90,3.36
108,Bethel,5282297,US,1608135733,-73.41,41.37,23.0,44,1,5.82
109,Moose Factory,6078372,CA,1608135733,-80.61,51.26,-4.0,76,75,5.82
110,Ferme-Neuve,5952330,CA,1608135733,-75.45,46.7,-0.4,70,94,3.36
111,Tianpeng,1792916,CN,1608135733,103.94,30.99,41.0,1,93,2.37
112,Arlit,2447513,NE,1608135733,7.39,18.74,85.55,12,5,6.82
